No;Kategori;Strateji;Açıklama;Öncelik;Zaman Dilimi;Tahmini Aylık Gelir Etkisi;Tahmini Maliyet;Zorluk;Durum
11;ÖZEL MARKA;Hediye seti ambalajlama;Yılbaşı / Anneler Günü / Kurban Bayramı için hazır hediye kutusu. Ürün aynı — ambalaj değişiyor — fiyat %30-40 artıyor. Zahmetsiz marj artışı.;YÜKSEK;1-2 ay;+50.000 TL;10.000 TL;Kolay;Yapılacak
12;ÖZEL MARKA;Eco/Sürdürülebilir ambalaj serisı;Geri dönüştürülebilir ambalaj + ağaç dik kampanyası. Z kuşağı bu markalara sadık. Rakiplerinizden farklılaşma.;ORTA;6-12 ay;+40.000 TL;15.000 TL;Orta;Yapılacak
13;ÖZEL MARKA;Vegan/Vejetaryen sertifikalı seri;Türkiye'de vegan nüfus büyüyor. Sertifikalı vegan takviye paketi — niş ama sadık müşteri kitlesi ve premium fiyat.;ORTA;6-12 ay;+50.000 TL;20.000 TL;Orta;Yapılacak
14;ÖZEL MARKA;Ürün QR kodla sağlık bilgi sistemi;Her ürün kutusuna QR kod — taratınca sağlık bilgisi + video çıksın. Müşteri eğitimi = güven = tekrar alım.;DÜŞÜK;6-12 ay;+20.000 TL;5.000 TL;Kolay;Yapılacak
15;ÖZEL MARKA;Organik sertifikalı ürün serisi;Organik sertifikası olan ürünler %40-60 daha pahalı satılabiliyor. Hedef: en az 5 organik sertifikalı özel marka ürün.;ORTA;6-12 ay;+70.000 TL;25.000 TL;Zor;Yapılacak
16;E-TİCARET;Trendyol mağazası aç ve optimize et;Türkiye'nin 1 numaralı e-ticaret sitesi. Günlük milyonlarca sağlık araması. İlk hafta 50 ürün listele, 30 gün içinde 200 ürüne çık.;KRİTİK;0-1 ay;+300.000 TL;10.000 TL (reklam);Kolay;Yapılacak
17;E-TİCARET;Hepsiburada mağazası;Trendyol'dan sonra 2. büyük pazar. Farklı müşteri kitlesi — mutlaka ek kanal olarak olmalı.;KRİTİK;0-1 ay;+150.000 TL;5.000 TL;Kolay;Yapılacak
18;E-TİCARET;N11 satıcı hesabı;Küçük ama ihmal edilmemeli. Ekstra mağaza açmak marjinal maliyetle ek satış.;ORTA;1-2 ay;+50.000 TL;2.000 TL;Kolay;Yapılacak
19;E-TİCARET;Kendi e-ticaret sitesi (ikas/Shopify);Platform komisyonu %0 — tüm kar sizin. Müşteri datası sizin. Uzun vadede en değerli kanal. ikas.com Türkçe destek veriyor.;KRİTİK;1-3 ay;+200.000 TL;20.000 TL/yıl;Orta;Yapılacak
20;E-TİCARET;Trendyol Sponsored Products reklamı;Trendyol içi reklam — sağlık kategorisinde ROAS genellikle 4-6x. 10.000 TL harca 40.000-60.000 TL dönsün.;KRİTİK;0-1 ay;+80.000 TL;10.000 TL/ay;Kolay;Yapılacak
21;E-TİCARET;Getir/Yemeksepeti hızlı teslimat;Acil vitamin/ilaç ihtiyacı için hızlı teslimat kanalı. Rakiplerinizde yoksa büyük avantaj. Özellikle şehir içi.;YÜKSEK;1-3 ay;+60.000 TL;3.000 TL;Orta;Yapılacak
22;E-TİCARET;Profesyonel ürün fotoğrafçılığı;Aynı ürün profesyonel fotoğrafla %30-50 daha fazla satıyor — araştırmalar kanıtladı. En ucuz marj artışı.;KRİTİK;0-1 ay;+50.000 TL;5.000-15.000 TL;Kolay;Yapılacak
23;E-TİCARET;Platform SEO — başlık ve açıklama optimizasyonu;Trendyol arama algoritmasına göre ürün başlıklarını optimize et. "C Vitamini" yerine "C Vitamini 1000mg Bağışıklık 90 Tablet" — tıklanma 3x artar.;YÜKSEK;0-1 ay;+40.000 TL;0 TL;Kolay;Yapılacak
24;E-TİCARET;Flash sale ve kampanya katılımı;Trendyol/Hepsiburada özel kampanya günleri (11.11, Efsane Cuma). Önceden hazırlık yaparak bu günlerde 10x ciro mümkün.;YÜKSEK;Mevsimsel;+100.000 TL (dönemsel);5.000 TL;Kolay;Yapılacak
25;E-TİCARET;Cross-sell ürün öneri sistemi;Sepete probiyotik atıldığında "Bununla birlikte sıkça alınanlar: Vitamin D3" önerisi. Ortalama sepet tutarı %20-30 artar.;YÜKSEK;1-3 ay;+60.000 TL;10.000 TL;Orta;Yapılacak
26;E-TİCARET;Abonelik / tekrar satın alma özelliği;Müşteri "Her ay gönder" seçeneği seçsin. %10 indirim ver — ama düzenli gelir kazan. Churn oranı %5 altında tutulan abonelikler altın.;KRİTİK;3-6 ay;+150.000 TL;15.000 TL;Orta;Yapılacak
27;E-TİCARET;Amazon Türkiye mağazası;Yüksek gelirli ve yabancı müşteri kitlesi. Özellikle özel marka ürünler için premium fiyat şansı.;ORTA;3-6 ay;+70.000 TL;5.000 TL;Orta;Yapılacak
28;E-TİCARET;Kargo anlaşması — desi başı düşür;Yılda 10.000+ kargo yapıyorsanız Aras/MNG/Sürat ile özel anlaşma. Kargo maliyeti %30-40 düşer.;YÜKSEK;0-1 ay;+30.000 TL (tasarruf);0 TL;Kolay;Yapılacak
29;E-TİCARET;Stok-platform otomatik senkronizasyon;Trendyol'da ürün bitti — sistem bunu otomatik güncellesin. Stoksuz satış = iade = ceza puan. Bu teknik bağlantıyı kuralım.;KRİTİK;1-2 ay;+Ceza önleme;10.000 TL;Orta;Yapılacak
30;E-TİCARET;Yorum yönetimi programı;Her satıştan sonra yorum isteği gönder. 4.5+ puan = %25 daha fazla tıklanma. Olumsuz yorum 24 saat içinde yanıtla.;YÜKSEK;0-1 ay;+40.000 TL;0 TL;Kolay;Yapılacak
31;SOSYAL MEDYA;Instagram mikro-influencer programı;10K-50K takipçili sağlık/anne/fitness influencer'ları. Ürün + %10-15 komisyon teklif. Aylık 5-8 influencer aktif tut.;KRİTİK;0-2 ay;+100.000 TL;15.000 TL/ay;Orta;Yapılacak
32;SOSYAL MEDYA;TikTok sağlık içerik kanalı;TikTok Türkiye'de en hızlı büyüyen platform. Kısa sağlık ipuçları videoları viral gidebilir. Organik erişim hâlâ yüksek.;YÜKSEK;0-1 ay;+60.000 TL;3.000 TL/ay;Orta;Yapılacak
33;SOSYAL MEDYA;Instagram Reels serisi;"Bu vitamini neden almalısın?" 30-60 sn'lik Reels. Organik erişim Stories'den 4x yüksek. Haftada 3 Reels hedefi.;YÜKSEK;0-1 ay;+40.000 TL;3.000 TL/ay;Kolay;Yapılacak
34;SOSYAL MEDYA;Instagram Live satış yayını;Canlı yayında ürün gösterimi — soru-cevap — anında sipariş. Türkiye'de canlı yayın satışları China'nın ardından en hızlı büyüyen kanal.;YÜKSEK;1-2 ay;+50.000 TL;1.000 TL/ay;Orta;Yapılacak
35;SOSYAL MEDYA;WhatsApp Business katalog ve broadcast;Mevcut müşterilere haftalık kampanya mesajı. Açılma oranı e-postanın 5x'i. WhatsApp Broadcast listesi = en ucuz pazarlama kanalı.;KRİTİK;0-1 ay;+80.000 TL;0 TL;Kolay;Yapılacak
36;SOSYAL MEDYA;YouTube sağlıklı yaşam kanalı;Uzun formatlı içerik — "Probiyotik ne zaman alınır?" gibi sorular. SEO trafiği uzun vadede organik satış getirir.;ORTA;3-6 ay;+40.000 TL;5.000 TL/ay;Orta;Yapılacak
37;SOSYAL MEDYA;UGC (Kullanıcı içeriği) kampanyası;Müşteri fotoğraf/video paylaşımını teşvik et. "Dağdelen kullanıcısı ol" hashtag kampanyası. Ücretsiz içerik + sosyal kanıt.;YÜKSEK;1-2 ay;+30.000 TL;5.000 TL;Kolay;Yapılacak
38;SOSYAL MEDYA;Rakip analizi ve fiyat takibi;Rakiplerin en çok satan ürünlerini ve fiyatlarını haftalık takip et. Rekabetçi fiyatlama için zorunlu.;YÜKSEK;0-1 ay;+20.000 TL (fırsat tespiti);0 TL;Kolay;Yapılacak
39;SOSYAL MEDYA;Pinterest sağlık içerikleri;Özellikle kadın hedef kitle için Pinterest. "Sabah rutinim" gibi içerikler viral gidebilir ve ürünlere link verir.;DÜŞÜK;3-6 ay;+15.000 TL;2.000 TL/ay;Kolay;Yapılacak
40;SOSYAL MEDYA;Influencer affiliate link programı;Her influencer'a özel indirim kodu + takip linki. Performans bazlı — sadece satış olunca öde. Risksiz pazarlama.;YÜKSEK;1-2 ay;+60.000 TL;10.000 TL;Orta;Yapılacak
41;DİJİTAL PAZARLAMA;Google Ads arama kampanyası;"Vitamin al" "Probiyotik fiyat" aramalarını yakala. Rakipler bu reklamları veriyor — siz vermezseniz kaybedersiniz.;KRİTİK;0-1 ay;+100.000 TL;15.000 TL/ay;Orta;Yapılacak
42;DİJİTAL PAZARLAMA;Meta (Facebook/Instagram) reklam;Türkiye'de Meta reklamları 2.5x ROI. 35-55 yaş kadın sağlık ürünü kitlesi için mükemmel.;KRİTİK;0-1 ay;+80.000 TL;10.000 TL/ay;Orta;Yapılacak
43;DİJİTAL PAZARLAMA;Remarketing kampanyası;Siteyi ziyaret edip satın almayan kullanıcıları takip et — hedeflenen reklam göster. Dönüşüm oranı 3x artar.;YÜKSEK;1-2 ay;+40.000 TL;5.000 TL/ay;Orta;Yapılacak
44;DİJİTAL PAZARLAMA;SEO — sağlık blog içerikleri;"C vitamini faydaları" "Probiyotik ne işe yarar" gibi sorular için içerik yaz. Google'dan ücretsiz trafik.;YÜKSEK;1-3 ay;+60.000 TL;5.000 TL/ay;Orta;Yapılacak
45;DİJİTAL PAZARLAMA;Email marketing haftalık bülten;Müşteri email listesine her hafta faydalı içerik + kampanya. Açılma oranı %25+ sağlık kategorisinde. Ücretsiz tekrar satış.;YÜKSEK;1-2 ay;+50.000 TL;2.000 TL/ay;Kolay;Yapılacak
46;DİJİTAL PAZARLAMA;Google My Business optimizasyonu;Her şube için GMB profili — fotoğraf + saat + yorum. Yakın aramalar için kritik. "Yakınımda eczane" aramaları sizi bulsun.;KRİTİK;0-1 ay;+30.000 TL;0 TL;Kolay;Yapılacak
47;DİJİTAL PAZARLAMA;5 yıldız yorum kampanyası;Tüm şubeler için Google yorumlarını artır. Her memnun müşteriden yorum iste. 100+ yorum = güven = yeni müşteri.;YÜKSEK;0-1 ay;+40.000 TL;0 TL;Kolay;Yapılacak
48;DİJİTAL PAZARLAMA;Podcast sponsorluğu;Türkiye'de sağlık/fitness podcastlere sponsor ol. Nişe hedefli kitle — satın alma niyeti yüksek.;ORTA;3-6 ay;+30.000 TL;5.000-10.000 TL/ay;Orta;Yapılacak
49;DİJİTAL PAZARLAMA;LinkedIn kurumsal satış kampanyası;B2B hedef kitle için LinkedIn. İK direktörleri ve ofis yöneticilerine "çalışan sağlık paketi" teklifi.;ORTA;2-4 ay;+50.000 TL;5.000 TL/ay;Orta;Yapılacak
50;DİJİTAL PAZARLAMA;SMS pazarlama — kampanya bildirimi;Kayıtlı müşterilere özel kampanya SMS. Açılma oranı %95 — email'den çok daha etkili. Aylık 1-2 SMS yeterli.;YÜKSEK;1-2 ay;+40.000 TL;3.000 TL/ay;Kolay;Yapılacak
51;MÜŞTERİ İLİŞKİLERİ;Dağdelen Sadakat Kartı programı;Her 10 alışverişte 1 bedava veya puan sistemi. Müşteriyi rakibe gitmekten alıkoyar. Sadık müşteri yılda 3x daha fazla harcıyor.;KRİTİK;1-2 ay;+100.000 TL;10.000 TL;Orta;Yapılacak
52;MÜŞTERİ İLİŞKİLERİ;Referans programı — getir kazan;Müşteri arkadaşını getirince her iki tarafa da indirim. Kişiden kişiye yayılma en düşük maliyetli büyüme.;YÜKSEK;1-2 ay;+80.000 TL;15.000 TL;Kolay;Yapılacak
53;MÜŞTERİ İLİŞKİLERİ;Doğum günü indirimi otomasyonu;Müşteri doğum gününde otomatik %15 indirim kuponu gitsin. Kişiselleştirilmiş — açılma oranı çok yüksek.;YÜKSEK;1-2 ay;+30.000 TL;3.000 TL;Kolay;Yapılacak
54;MÜŞTERİ İLİŞKİLERİ;VIP müşteri programı;Yılda 5.000 TL+ harcayan müşteri VIP olsun. Özel fiyat + öncelikli hizmet + özel hediye. En değerli %20 müşteri gelirin %80'ini oluşturur.;KRİTİK;2-4 ay;+120.000 TL;20.000 TL;Orta;Yapılacak
55;MÜŞTERİ İLİŞKİLERİ;Kayıp müşteri geri kazanma;6 aydır alım yapmayan müşterilere "Sizi özledik" mesajı + özel indirim. Geri kazanma oranı %20-30 olabilir.;YÜKSEK;1-2 ay;+50.000 TL;3.000 TL;Kolay;Yapılacak
56;MÜŞTERİ İLİŞKİLERİ;İlk alışveriş hoşgeldin indirimi;Yeni müşteriye %10-15 indirim. İlk alım eşiğini düşür — sonra sadakat yönetimiyle tut. CAC düşürmenin en etkili yolu.;YÜKSEK;0-1 ay;+60.000 TL;10.000 TL;Kolay;Yapılacak
57;MÜŞTERİ İLİŞKİLERİ;NPS (müşteri memnuniyet) ölçümü;Her alımdan sonra "1-10 arası bizi tavsiye eder misiniz?" sorusu. Promoter müşterileri influencer'a çevir.;YÜKSEK;1-2 ay;+Veri;500 TL/ay;Kolay;Yapılacak
58;MÜŞTERİ İLİŞKİLERİ;Kişiselleştirilmiş ürün önerileri;Müşterinin geçmiş alımına göre "Bunu da denediniz mi?" önerisi. Amazon'un ciro artışının %35'i bununla.;YÜKSEK;3-6 ay;+80.000 TL;15.000 TL;Zor;Yapılacak
59;MÜŞTERİ İLİŞKİLERİ;Yorum teşvik programı;Alım sonrası "Yorum yaz — %5 indirim kazan." Sosyal kanıt = dönüşüm artışı = organik büyüme.;YÜKSEK;0-1 ay;+30.000 TL;5.000 TL;Kolay;Yapılacak
60;MÜŞTERİ İLİŞKİLERİ;Aylık sağlık abonelik kutusu;"Her ay vitaminlerim gelsin" kutu aboneliği. Müşteri seçiyor — siz hazırlıyorsunuz. Düzenli öngörülebilir gelir.;KRİTİK;3-6 ay;+150.000 TL;20.000 TL;Orta;Yapılacak
61;B2B KURUMSAL;Fabrika/ofis çalışan sağlık paketi;50-500 çalışanlı işyerleri ile anlaş. "Çalışanlarınıza aylık vitamin paketi." Tek sözleşme = 50 bireysel müşteri değeri.;KRİTİK;1-3 ay;+200.000 TL;10.000 TL;Orta;Yapılacak
62;B2B KURUMSAL;Spor salonları toplu tedarik anlaşması;Protein tozu + BCAA + enerji ürünleri düzenli tedariki. Spor salonu sayısı Türkiye'de patlıyor.;YÜKSEK;1-3 ay;+100.000 TL;5.000 TL;Orta;Yapılacak
63;B2B KURUMSAL;Diyetisyen/doktor öneri komisyonu;Doktor ve diyetisyenler hastalarına "Dağdelen marka" önersin — referral fee öde. Güven transfer edilir.;KRİTİK;1-2 ay;+120.000 TL;20.000 TL/ay;Orta;Yapılacak
64;B2B KURUMSAL;Okul/kreş çocuk vitamini aboneliği;Okullar ebeveynlere vitamin paketi sunar — siz tedarik edersiniz. Toplu satış + düzenli tekrar.;YÜKSEK;2-4 ay;+80.000 TL;5.000 TL;Orta;Yapılacak
65;B2B KURUMSAL;Kurumsal hediye paketi servisi;Bayram hediyesi olarak vitamin/sağlık paketi. Şirketler her yıl hediye bütçesi ayırır. Toplu sipariş + kolay satış.;YÜKSEK;Mevsimsel;+100.000 TL (dönemsel);10.000 TL;Kolay;Yapılacak
66;B2B KURUMSAL;Güzellik salonu / kuaför iş birliği;Kolajen + Biotin + Saç vitamini. Güzellik salonları müşterilere ürün önersin — komisyon al.;YÜKSEK;1-3 ay;+60.000 TL;5.000 TL;Kolay;Yapılacak
67;B2B KURUMSAL;Otel ve spa wellness paketi;Oteller misafirlerine oda içi vitamin paketi sunar. Prestijli kanal — ürün görünürlüğü.;ORTA;3-6 ay;+50.000 TL;10.000 TL;Orta;Yapılacak
68;B2B KURUMSAL;Eczane bayilik/distribütör ağı;Kendi özel marka ürünlerinizi diğer eczanelere toptancı fiyatıyla sat. Distribütör ol — büyüme 10x'e çıkar.;KRİTİK;6-12 ay;+300.000 TL;30.000 TL;Zor;Yapılacak
69;B2B KURUMSAL;İş yeri ilaç dolabı yönetimi;Şirketlere aylık ilaç dolabı bakım ve tedarik hizmeti. Rekurring gelir + görünürlük.;ORTA;3-6 ay;+40.000 TL;10.000 TL;Orta;Yapılacak
70;B2B KURUMSAL;Online oyun/teknoloji şirketleri sağlık paketi;Ofiste çalışan genç yazılımcılar için "Göz vitamini + Enerji paketi" teklifi. Yeni nesil B2B kanal.;ORTA;3-6 ay;+40.000 TL;5.000 TL;Orta;Yapılacak
71;OPERASYON;Miad yönetimi otomasyonu;60 güne kalan ürünler otomatik kampanyaya girsin — sistem zaten hazır. Fire = 0 hedefi. Her aylık fire azalması direkt kar.;KRİTİK;0-1 ay;+50.000 TL (tasarruf);0 TL;Kolay;Yapılacak
72;OPERASYON;FIFO stok rotasyonu zorunluluğu;Eski ürün önce satılsın kuralı. Tüm kasiyerler eğitilsin. Miad firesi en büyük gizli maliyetlerden biri.;KRİTİK;0-1 ay;+30.000 TL (tasarruf);0 TL;Kolay;Yapılacak
73;OPERASYON;Şube bazlı karlılık analizi;Her şube aylık kar-zarar raporu. Zararlı şube ya kapatılsın ya dönüştürülsün. Kör nokta = para kaybı.;KRİTİK;1-2 ay;+Bilinmez (kritik veri);5.000 TL;Orta;Yapılacak
74;OPERASYON;ABC stok analizi;A: çok satan hızlı dönen. B: orta. C: yavaş. C grubunu ya kıs ya tasfiye et. Sermaye verimliliği artar.;YÜKSEK;1-2 ay;+40.000 TL (tasarruf);0 TL;Orta;Yapılacak
75;OPERASYON;Optimum sipariş miktarı hesaplama;Fazla stok = ölü sermaye. Az stok = kayıp satış. EOQ formülü ile her ürün için doğru miktar hesapla.;YÜKSEK;1-3 ay;+30.000 TL (tasarruf);0 TL;Orta;Yapılacak
76;OPERASYON;Dead stock aylık tasfiyesi;Hareketsiz stoku kampanyayla sat. Aylık tasfiye kural olsun. Ölü sermayeyi nakde çevir.;YÜKSEK;0-1 ay;+20.000 TL;0 TL;Kolay;Yapılacak
77;OPERASYON;Tedarikçi performans değerlendirmesi;Teslimat süresi / kalite / fiyat bazında tedarikçileri puanla. Kötü tedarikçiyi değiştir — iyisine hacim ver.;YÜKSEK;1-3 ay;+20.000 TL (tasarruf);0 TL;Orta;Yapılacak
78;OPERASYON;Nakit akışı 90 günlük projeksiyon;Her ay ileriye dönük nakit akışı planı. Kriz önceden görülür — panik yerine hazırlık olur.;KRİTİK;1-2 ay;+Finansal güvenlik;0 TL;Orta;Yapılacak
79;OPERASYON;Kargo maliyeti optimizasyonu;Kargo firmasını yılda 1 kez ihaleye çıkar. Desi başı fiyatı müzakere et. %25-35 tasarruf mümkün.;YÜKSEK;0-1 ay;+20.000 TL (tasarruf);0 TL;Kolay;Yapılacak
80;OPERASYON;Kasiyerleri satış üzerine eğit;Eczacı/satış görevlisi cross-sell önerisini biliyor mu? "Bu vitamini alanlar bununla birlikte alıyor." Eğitim = sepet artışı.;YÜKSEK;0-1 ay;+40.000 TL;5.000 TL;Kolay;Yapılacak
81;TEDARİK & MALİYET;Doğrudan üretici ile çalış (aracısız);Distribütörü atla — üreticiyle direkt anlaş. Aynı ürün %15-30 daha ucuz.;KRİTİK;1-3 ay;+80.000 TL (tasarruf);5.000 TL;Orta;Yapılacak
82;TEDARİK & MALİYET;Toplu alım iskontosu müzakeresi;Yıllık alım hacmini garanti et — karşılığında %10-20 iskonto al. İşletme sermayesini artır.;YÜKSEK;1-2 ay;+50.000 TL (tasarruf);0 TL;Kolay;Yapılacak
83;TEDARİK & MALİYET;Ödeme vadelerini uzat;Tedarikçilerle 30 gün yerine 60-90 gün vade müzakere et. Nakit akışını iyileştirir — finansman maliyeti düşer.;YÜKSEK;1-2 ay;+Nakit akışı;0 TL;Orta;Yapılacak
84;TEDARİK & MALİYET;Kira renegosyasyonu;Pandemi sonrası pek çok ticari kira yeniden müzakere edildi. Mal sahibiyle görüş. %10-20 kira düşüşü mümkün.;YÜKSEK;1-3 ay;+30.000 TL/ay (tasarruf);0 TL;Orta;Yapılacak
85;TEDARİK & MALİYET;Elektrik tasarrufu (LED + sayaç);Eczane/mağaza aydınlatma LED'e geçiş. Faturayı %40 düşürür. 1 yılda kendini amorti eder.;ORTA;1-3 ay;+5.000 TL/ay (tasarruf);15.000 TL;Kolay;Yapılacak
86;TEDARİK & MALİYET;Ortak satın alma birliği;Sektördeki diğer bağımsız eczane/sağlık mağazalarıyla ortak alım yap. Zincir gücü = iskonto.;ORTA;6-12 ay;+30.000 TL (tasarruf);5.000 TL;Zor;Yapılacak
87;TEDARİK & MALİYET;Ambalaj tedarikçisi değişimi;Kendi özel marka için ambalaj — yurt içi üretici tercih et. Döviz riski azalır. 3 teklif al — en ucuzu seç.;ORTA;2-4 ay;+15.000 TL (tasarruf);0 TL;Kolay;Yapılacak
88;TEDARİK & MALİYET;Dönemsel stok tasfiye satışı;Yılda 2 kez büyük indirim kampanyası — dead stock tasfiyesi. Hem nakit hem müşteri trafiği.;YÜKSEK;Yılda 2 kez;+50.000 TL (dönemsel);0 TL;Kolay;Yapılacak
89;TEDARİK & MALİYET;İade/garanti koşullarını yeniden müzakere et;Tedarikçiden miad süresi dolmuş ürün iade garantisi al. Riski paylaş — fire maliyeti düşer.;YÜKSEK;1-3 ay;+20.000 TL (tasarruf);0 TL;Orta;Yapılacak
90;TEDARİK & MALİYET;Personel eğitimi yerine çapraz eğitim;Kasiyerler hem satış hem stok hem temel danışmanlık yapabilsin. Ek personel yerine mevcut verimliliği artır.;ORTA;1-3 ay;+20.000 TL (tasarruf);5.000 TL;Orta;Yapılacak
91;İNOVASYON;Sağlık danışmanlık servisi (ücretli);Online veya yüz yüze beslenme/vitamin danışmanlığı. Saat başı 200-500 TL. Hem gelir hem ürün satışı.;YÜKSEK;3-6 ay;+50.000 TL;10.000 TL;Orta;Yapılacak
92;İNOVASYON;Mobil uygulama — ilaç/vitamin hatırlatıcı;Müşteri ilacını/vitaminini ne zaman alacağını uygulama hatırlatsın. Bağlılık artar — yeniden sipariş kolaylaşır.;YÜKSEK;6-12 ay;+80.000 TL;50.000 TL;Zor;Yapılacak
93;İNOVASYON;Yapay zeka destekli ürün öneri chatbot;WhatsApp veya web siteye AI chatbot — "Ne için ürün arıyorsunuz?" sorusuyla kişisel öneri yapsın.;YÜKSEK;6-12 ay;+100.000 TL;30.000 TL;Zor;Yapılacak
94;İNOVASYON;Online diyetisyen/beslenme uzmanı servisi;Platformunuzdan randevu al — uzmanla görüş — önerilen ürünleri hemen satın al. Danışmanlık + satış birleşimi.;YÜKSEK;6-12 ay;+60.000 TL;20.000 TL;Zor;Yapılacak
95;İNOVASYON;Kan testi + ürün öneri paketi;Anlaşmalı lab ile "Kan testi yaptır — eksikliğine göre vitamin paketi al." Yüksek katma değer hizmet.;KRİTİK;6-12 ay;+150.000 TL;30.000 TL;Zor;Yapılacak
96;İNOVASYON;Franchise modeli geliştirme;Dağdelen markası altında franchise aç. Franchisee hem ücret öder hem cirodan pay verir. Sermayesiz büyüme.;KRİTİK;12-24 ay;+500.000 TL;100.000 TL;Zor;Yapılacak
97;İNOVASYON;Yurt dışı satış — Almanya Türk diasporası;2.5 milyon Türk Almanya'da yaşıyor. Tanıdık Türk markaları için ödeme yapıyorlar. Amazon DE'den başla.;YÜKSEK;6-12 ay;+100.000 TL;20.000 TL;Zor;Yapılacak
98;İNOVASYON;Sağlık turizmi hastalarına paket;Türkiye'ye tedavi için gelen yabancı hastalar — hastane çıkışı vitamin/bakım paketi. Hastane iş birliği.;ORTA;6-12 ay;+40.000 TL;10.000 TL;Orta;Yapılacak
99;İNOVASYON;Üniversite AR-GE işbirliği;Eczacılık/beslenme fakültesiyle ortak araştırma. Hem ürün geliştirme hem marka güvenilirliği.;ORTA;12-24 ay;+Marka değeri;10.000 TL;Orta;Yapılacak
100;İNOVASYON;Sosyal etki projesi — okul sağlığı;İlkokullarda ücretsiz vitamin dağıtımı (küçük paket). Medya haberi + marka bilinirliği. CSR = satış ivmesi.;ORTA;6-12 ay;+Marka değeri;20.000 TL/yıl;Kolay;Yapılacak
101;VERİ & TEKNOLOJİ;Karlılık dashboard'u (canlı);Hangi ürün, hangi şube, hangi kanal gerçek kar getiriyor — canlı görün. Kör nokta kalmaz. (Yazılımda geliştirilebilir);KRİTİK;1-2 ay;+Karar kalitesi;10.000 TL;Orta;Yapılacak
102;VERİ & TEKNOLOJİ;Müşteri yaşam boyu değeri (LTV) hesaplama;Bir müşteri size ömrü boyunca ne kadar öder? Bu sayıyı bilen firma doğru pazarlama bütçesi ayırır.;YÜKSEK;2-4 ay;+Strateji;5.000 TL;Orta;Yapılacak
103;VERİ & TEKNOLOJİ;Trendyol API stok entegrasyonu;Platform siparişleri otomatik sisteme düşsün — stok otomatik güncellensin. (Teknik geliştirme gerekli);KRİTİK;2-4 ay;+Otomasyon;15.000 TL;Zor;Yapılacak
